,order,season,episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance
0,1,1,1,Waymar Royce,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,"House Royce, Night’s Watch",2.0
1,2,1,1,Gared,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,Night’s Watch,2.0
2,3,1,1,Will,Ned Stark,Sword (Ice),Blade,Deserting the Night’s Watch,Winterfell,Night’s Watch,2.0
3,4,1,1,Stag,Direwolf,Direwolf teeth,Animal,Unknown,Winterfell,None,1.0
4,5,1,1,Direwolf,Stag,Antler,Animal,Unknown,Winterfell,None,1.0
5,6,1,1,Jon Arryn,Lysa Arryn,Poison,Poison,Petyr Baelish persuaded Lysa to do so for reasons unknown,King’s Landing,House Arryn,2.0
6,7,1,1,Dothraki man,Dothraki man,Arakh,Blade,A Dothraki wedding without at least three deaths is a dull affair,Pentos,Dothraki,1.0
7,8,1,2,Catspaw assassin,Summer,Direwolf teeth,Animal,Attempting to kill Bran Stark,Winterfell,None,1.0
8,9,1,2,Mycah,Sandor “the Hound” Clegane,Unknown (likely a sword),Unknown,Joffrey has him killed after Arya attacks Joffrey,Kingsroad,Smallfolk,3.0
9,10,1,2,Lady,Ned Stark,Knife,Blade,"Robert Baratheon orders that Lady be killed to appease Cersei, who wants revenge after Nymeria attacked Joffrey",Kingsroad,House Stark,3.0
10,11,1,4,Ser Hugh of the Vale,Gregor “the Mountain” Clegane,Spear,Polearm,Killed during a tournament,King’s Landing,House Arryn,2.0
11,12,1,5,Clegane’s horse,Gregor “the Mountain” Clegane,Sword,Blade,Gregor was angry at being unhorsed in the tournament by Loras Tyrell,King’s Landing,House Clegane,1.0
12,13,1,5,Stark soldier,Tribesman,Bolo,Other,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1.0
13,14,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
14,15,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
15,16,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
16,17,1,5,Stark soldier,Tribesman,Mace,Mace,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1.0
17,18,1,5,Tribesman,Tyrion Lannister,Shield,Other,Attacked Catelyn Stark,Eastern Road,None,1.0
18,19,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
19,20,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
20,21,1,5,Tribesman,Bronn,Knife,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1.0
21,22,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1.0
22,23,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1.0
23,24,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0
24,25,1,5,Lannister soldier,Ned Stark,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0
25,26,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0
26,27,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0
27,28,1,5,Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,House Stark,3.0
28,29,1,6,Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,2.0
29,30,1,6,Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,1.0
30,31,1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,Free Folk,2.0
31,32,1,6,Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,"House Egen, House Arryn",2.0
32,33,1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,House Targaryen,4.0
33,34,1,7,Robert Baratheon,Boar,Tusk,Animal,Hunted the boar while drunk,King’s Landing,House Baratheon of King’s Landing,4.0
34,35,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
35,36,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
36,37,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
37,38,1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
38,39,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
39,40,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
40,41,1,8,Vayon Poole,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,2.0
41,42,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
42,43,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0
43,44,1,8,Septa Mordane,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3.0
44,45,1,8,Syrio Forel,Meryn Trant,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3.0
45,46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,Smallfolk,1.0
